Geography,Date,ASP,type
SouthCentral,2015-01-11,0.8,Conventional
Southeast,2015-01-11,1.18,Conventional
Spokane,2015-01-11,1.07,Conventional
StLouis,2015-01-11,1.29,Conventional
Syracuse,2015-01-11,1.45,Conventional
Tampa,2015-01-11,1.24,Conventional
TotalUS,2015-01-11,1.01,Conventional
West,2015-01-11,0.95,Conventional
WestTexNewMexico,2015-01-11,0.92,Conventional
Albany,2015-01-11,1.77,organic
Atlanta,2015-01-11,1.84,organic
BaltimoreWashington,2015-01-11,1.22,organic
Boise,2015-01-11,1.44,organic
Boston,2015-01-11,1.94,organic
BuffaloRochester,2015-01-11,1.59,organic
California,2015-01-11,1.1,organic
Charlotte,2015-01-11,2.29,organic
Chicago,2015-01-11,1.79,organic
CincinnatiDayton,2015-01-11,1.32,organic
Columbus,2015-01-11,1.68,organic
DallasFtWorth,2015-01-11,1.35,organic
Denver,2015-01-11,1.28,organic
Detroit,2015-01-11,1.87,organic
GrandRapids,2015-01-11,1.87,organic
GreatLakes,2015-01-11,1.69,organic
HarrisburgScranton,2015-01-11,1.65,organic
HartfordSpringfield,2015-01-11,2.28,organic
Houston,2015-01-11,1.26,organic
Indianapolis,2015-01-11,1.83,organic
Jacksonville,2015-01-11,1.91,organic
LasVegas,2015-01-11,1.54,organic
LosAngeles,2015-01-11,1.08,organic
Louisville,2015-01-11,1.79,organic
MiamiFtLauderdale,2015-01-11,1.85,organic
Midsouth,2015-01-11,1.52,organic
Nashville,2015-01-11,1.92,organic
NewOrleansMobile,2015-01-11,1.44,organic
NewYork,2015-01-11,2.03,organic
Northeast,2015-01-11,1.86,organic
NorthernNewEngland,2015-01-11,1.88,organic
Orlando,2015-01-11,1.92,organic
Philadelphia,2015-01-11,1.63,organic
PhoenixTucson,2015-01-11,1.36,organic
Pittsburgh,2015-01-11,1.82,organic
Plains,2015-01-11,1.68,organic
Portland,2015-01-11,1.22,organic
RaleighGreensboro,2015-01-11,1.98,organic
RichmondNorfolk,2015-01-11,1.66,organic
Roanoke,2015-01-11,1.47,organic
Sacramento,2015-01-11,1.27,organic
SanDiego,2015-01-11,1.05,organic
SanFrancisco,2015-01-11,1.12,organic
Seattle,2015-01-11,1.46,organic
SouthCarolina,2015-01-11,2.06,organic
SouthCentral,2015-01-11,1.39,organic
Southeast,2015-01-11,1.83,organic
Spokane,2015-01-11,1.38,organic
StLouis,2015-01-11,1.84,organic
Syracuse,2015-01-11,1.66,organic
Tampa,2015-01-11,1.84,organic
TotalUS,2015-01-11,1.42,organic
West,2015-01-11,1.39,organic
WestTexNewMexico,2015-01-11,1.69,organic
Albany,2015-01-18,1.17,Conventional
Atlanta,2015-01-18,1.11,Conventional
BaltimoreWashington,2015-01-18,1.23,Conventional
Boise,2015-01-18,1.08,Conventional
Boston,2015-01-18,1.23,Conventional
BuffaloRochester,2015-01-18,1.52,Conventional
California,2015-01-18,1.02,Conventional
Charlotte,2015-01-18,1.25,Conventional
Chicago,2015-01-18,1.14,Conventional
CincinnatiDayton,2015-01-18,0.93,Conventional
Columbus,2015-01-18,1.02,Conventional
DallasFtWorth,2015-01-18,0.76,Conventional
Denver,2015-01-18,0.99,Conventional
Detroit,2015-01-18,1.1,Conventional
GrandRapids,2015-01-18,1.07,Conventional
GreatLakes,2015-01-18,1.08,Conventional
HarrisburgScranton,2015-01-18,1.24,Conventional
HartfordSpringfield,2015-01-18,1.39,Conventional
Houston,2015-01-18,0.77,Conventional
Indianapolis,2015-01-18,1.14,Conventional
Jacksonville,2015-01-18,1.27,Conventional
LasVegas,2015-01-18,1.06,Conventional
LosAngeles,2015-01-18,0.89,Conventional
Louisville,2015-01-18,1.06,Conventional
MiamiFtLauderdale,2015-01-18,1.3,Conventional
Midsouth,2015-01-18,1.19,Conventional
Nashville,2015-01-18,1.08,Conventional
NewOrleansMobile,2015-01-18,1.03,Conventional
NewYork,2015-01-18,1.37,Conventional
Northeast,2015-01-18,1.32,Conventional
NorthernNewEngland,2015-01-18,1.12,Conventional
Orlando,2015-01-18,1.33,Conventional
Philadelphia,2015-01-18,1.4,Conventional
PhoenixTucson,2015-01-18,0.67,Conventional
Pittsburgh,2015-01-18,1.47,Conventional
Plains,2015-01-18,1.02,Conventional
Portland,2015-01-18,1.11,Conventional
RaleighGreensboro,2015-01-18,1.22,Conventional
RichmondNorfolk,2015-01-18,1.18,Conventional
Roanoke,2015-01-18,1.18,Conventional
Sacramento,2015-01-18,1.22,Conventional
SanDiego,2015-01-18,1.01,Conventional
SanFrancisco,2015-01-18,1.22,Conventional
Seattle,2015-01-18,1.2,Conventional
SouthCarolina,2015-01-18,1.15,Conventional
SouthCentral,2015-01-18,0.79,Conventional
Southeast,2015-01-18,1.19,Conventional
Spokane,2015-01-18,1.18,Conventional
StLouis,2015-01-18,1.28,Conventional
Syracuse,2015-01-18,1.4,Conventional
Tampa,2015-01-18,1.27,Conventional
TotalUS,2015-01-18,1.03,Conventional
West,2015-01-18,0.96,Conventional
WestTexNewMexico,2015-01-18,0.8,Conventional
Albany,2015-01-18,1.93,organic
Atlanta,2015-01-18,1.86,organic
BaltimoreWashington,2015-01-18,1.41,organic
Boise,2015-01-18,1.44,organic
Boston,2015-01-18,2.0,organic
BuffaloRochester,2015-01-18,1.64,organic
California,2015-01-18,1.24,organic
Charlotte,2015-01-18,2.15,organic
Chicago,2015-01-18,1.81,organic
CincinnatiDayton,2015-01-18,1.37,organic
Columbus,2015-01-18,1.84,organic
DallasFtWorth,2015-01-18,1.28,organic
Denver,2015-01-18,1.1,organic
Detroit,2015-01-18,1.9,organic
GrandRapids,2015-01-18,1.88,organic
GreatLakes,2015-01-18,1.73,organic
HarrisburgScranton,2015-01-18,1.94,organic
