Geography,Date,ASP,type
PhoenixTucson,1/11/2015,1.36,Organic
Pittsburgh,1/11/2015,1.82,Organic
Plains,1/11/2015,1.68,Organic
Portland,1/11/2015,1.22,Organic
RaleighGreensboro,1/11/2015,1.98,Organic
RichmondNorfolk,1/11/2015,1.66,Organic
Roanoke,1/11/2015,1.47,Organic
Sacramento,1/11/2015,1.27,Organic
SanDiego,1/11/2015,1.05,Organic
SanFrancisco,1/11/2015,1.12,Organic
Seattle,1/11/2015,1.46,Organic
SouthCarolina,1/11/2015,2.06,Organic
SouthCentral,1/11/2015,1.39,Organic
Southeast,1/11/2015,1.83,Organic
Spokane,1/11/2015,1.38,Organic
StLouis,1/11/2015,1.84,Organic
Syracuse,1/11/2015,1.66,Organic
Tampa,1/11/2015,1.84,Organic
TotalUS,1/11/2015,1.42,Organic
West,1/11/2015,1.39,Organic
WestTexNewMexico,1/11/2015,1.69,Organic
Albany,1/18/2015,1.17,Conventional
Atlanta,1/18/2015,1.11,Conventional
Baltimore/Washington,1/18/2015,1.23,Conventional
Boise,1/18/2015,1.08,Conventional
Boston,1/18/2015,1.23,Conventional
BuffaloRochester,1/18/2015,1.52,Conventional
California,1/18/2015,1.02,Conventional
Charlotte,1/18/2015,1.25,Conventional
Chicago,1/18/2015,1.14,Conventional
CincinnatiDayton,1/18/2015,0.93,Conventional
Columbus,1/18/2015,1.02,Conventional
DallasFtWorth,1/18/2015,0.76,Conventional
Denver,1/18/2015,0.99,Conventional
Detroit,1/18/2015,1.10,Conventional
GrandRapids,1/18/2015,1.07,Conventional
GreatLakes,1/18/2015,1.08,Conventional
HarrisburgScranton,1/18/2015,1.24,Conventional
HartfordSpringfield,1/18/2015,1.39,Conventional
Houston,1/18/2015,0.77,Conventional
Indianapolis,1/18/2015,1.14,Conventional
Jacksonville,1/18/2015,1.27,Conventional
LasVegas,1/18/2015,1.06,Conventional
LosAngeles,1/18/2015,0.89,Conventional
Louisville,1/18/2015,1.06,Conventional
MiamiFtLauderdale,1/18/2015,1.30,Conventional
Midsouth,1/18/2015,1.19,Conventional
Nashville,1/18/2015,1.08,Conventional
NewOrleansMobile,1/18/2015,1.03,Conventional
NewYork,1/18/2015,1.37,Conventional
Northeast,1/18/2015,1.32,Conventional
NorthernNewEngland,1/18/2015,1.12,Conventional
Orlando,1/18/2015,1.33,Conventional
Philadelphia,1/18/2015,1.40,Conventional
PhoenixTucson,1/18/2015,0.67,Conventional
Pittsburgh,1/18/2015,1.47,Conventional
Plains,1/18/2015,1.02,Conventional
Portland,1/18/2015,1.11,Conventional
RaleighGreensboro,1/18/2015,1.22,Conventional
RichmondNorfolk,1/18/2015,1.18,Conventional
Roanoke,1/18/2015,1.18,Conventional
Sacramento,1/18/2015,1.22,Conventional
SanDiego,1/18/2015,1.01,Conventional
SanFrancisco,1/18/2015,1.22,Conventional
Seattle,1/18/2015,1.20,Conventional
SouthCarolina,1/18/2015,1.15,Conventional
SouthCentral,1/18/2015,0.79,Conventional
Southeast,1/18/2015,1.19,Conventional
Spokane,1/18/2015,1.18,Conventional
StLouis,1/18/2015,1.28,Conventional
Syracuse,1/18/2015,1.40,Conventional
Tampa,1/18/2015,1.27,Conventional
TotalUS,1/18/2015,1.03,Conventional
West,1/18/2015,0.96,Conventional
WestTexNewMexico,1/18/2015,0.80,Conventional
Albany,1/18/2015,1.93,Organic
Atlanta,1/18/2015,1.86,Organic
Baltimore/Washington,1/18/2015,1.41,Organic
Boise,1/18/2015,1.44,Organic
Boston,1/18/2015,2.00,Organic
BuffaloRochester,1/18/2015,1.64,Organic
California,1/18/2015,1.24,Organic
Charlotte,1/18/2015,2.15,Organic
Chicago,1/18/2015,1.81,Organic
CincinnatiDayton,1/18/2015,1.37,Organic
Columbus,1/18/2015,1.84,Organic
DallasFtWorth,1/18/2015,1.28,Organic
Denver,1/18/2015,1.10,Organic
Detroit,1/18/2015,1.90,Organic
GrandRapids,1/18/2015,1.88,Organic
GreatLakes,1/18/2015,1.73,Organic
HarrisburgScranton,1/18/2015,1.94,Organic
HartfordSpringfield,1/18/2015,2.35,Organic
Houston,1/18/2015,1.20,Organic
Indianapolis,1/18/2015,1.96,Organic
Jacksonville,1/18/2015,1.82,Organic
LasVegas,1/18/2015,1.63,Organic
LosAngeles,1/18/2015,1.29,Organic
Louisville,1/18/2015,1.79,Organic
MiamiFtLauderdale,1/18/2015,1.87,Organic
Midsouth,1/18/2015,1.65,Organic
Nashville,1/18/2015,1.81,Organic
NewOrleansMobile,1/18/2015,0.98,Organic
NewYork,1/18/2015,2.08,Organic
Northeast,1/18/2015,1.94,Organic
NorthernNewEngland,1/18/2015,1.88,Organic
Orlando,1/18/2015,1.79,Organic
Philadelphia,1/18/2015,1.93,Organic
PhoenixTucson,1/18/2015,1.36,Organic
Pittsburgh,1/18/2015,1.55,Organic
Plains,1/18/2015,1.80,Organic
Portland,1/18/2015,1.24,Organic
RaleighGreensboro,1/18/2015,1.97,Organic
RichmondNorfolk,1/18/2015,1.62,Organic
Roanoke,1/18/2015,1.48,Organic
Sacramento,1/18/2015,1.13,Organic
SanDiego,1/18/2015,1.29,Organic
SanFrancisco,1/18/2015,1.27,Organic
Seattle,1/18/2015,1.45,Organic
SouthCarolina,1/18/2015,1.93,Organic
SouthCentral,1/18/2015,1.27,Organic
Southeast,1/18/2015,1.79,Organic
Spokane,1/18/2015,1.44,Organic
StLouis,1/18/2015,1.92,Organic
Syracuse,1/18/2015,1.84,Organic
Tampa,1/18/2015,1.73,Organic
TotalUS,1/18/2015,1.42,Organic
West,1/18/2015,1.33,Organic
WestTexNewMexico,1/18/2015,1.71,Organic
Albany,1/25/2015,1.06,Conventional
Atlanta,1/25/2015,1.10,Conventional
Baltimore/Washington,1/25/2015,1.20,Conventional
Boise,1/25/2015,1.03,Conventional
Boston,1/25/2015,1.17,Conventional
BuffaloRochester,1/25/2015,1.50,Conventional
California,1/25/2015,1.06,Conventional
Charlotte,1/25/2015,1.18,Conventional
Chicago,1/25/2015,1.22,Conventional
CincinnatiDayton,1/25/2015,0.93,Conventional
Columbus,1/25/2015,1.08,Conventional
DallasFtWorth,1/25/2015,0.80,Conventional
Denver,1/25/2015,1.02,Conventional
Detroit,1/25/2015,1.19,Conventional
GrandRapids,1/25/2015,1.19,Conventional
GreatLakes,1/25/2015,1.13,Conventional
HarrisburgScranton,1/25/2015,1.17,Conventional
HartfordSpringfield,1/25/2015,1.35,Conventional
Houston,1/25/2015,0.77,Conventional
Indianapolis,1/25/2015,1.06,Conventional
Jacksonville,1/25/2015,1.20,Conventional
LasVegas,1/25/2015,1.06,Conventional
LosAngeles,1/25/2015,0.96,Conventional
Louisville,1/25/2015,1.02,Conventional
MiamiFtLauderdale,1/25/2015,1.27,Conventional
Midsouth,1/25/2015,1.15,Conventional
Nashville,1/25/2015,1.07,Conventional
NewOrleansMobile,1/25/2015,0.94,Conventional
NewYork,1/25/2015,1.36,Conventional
Northeast,1/25/2015,1.27,Conventional
NorthernNewEngland,1/25/2015,1.06,Conventional
Orlando,1/25/2015,1.28,Conventional
Philadelphia,1/25/2015,1.36,Conventional
PhoenixTucson,1/25/2015,0.61,Conventional
Pittsburgh,1/25/2015,1.32,Conventional
Plains,1/25/2015,1.08,Conventional
Portland,1/25/2015,1.09,Conventional
RaleighGreensboro,1/25/2015,1.16,Conventional
